檔案名稱,是否有CWE漏洞
aider/analytics.py,false
aider/args.py,false
aider/coders/base_coder.py,false
aider/coders/editblock_coder.py,false
aider/coders/patch_coder.py,false
aider/coders/search_replace.py,false
aider/coders/udiff_coder.py,false
aider/coders/wholefile_coder.py,false
aider/commands.py,false
aider/diffs.py,false
aider/editor.py,false
aider/gui.py,false
aider/help.py,false
aider/history.py,false
aider/io.py,false
aider/linter.py,false
aider/main.py,false
aider/models.py,false
aider/onboarding.py,false
aider/repo.py,false
aider/repomap.py,false
aider/report.py,false
aider/run_cmd.py,false
aider/special.py,false
aider/utils.py,false
aider/voice.py,false
aider/watch.py,false
benchmark/benchmark.py,false
benchmark/over_time.py,false
benchmark/problem_stats.py,false
benchmark/refactor_tools.py,false
benchmark/swe_bench.py,false
scripts/30k-image.py,false
scripts/blame.py,false
scripts/clean_metadata.py,false
scripts/dl_icons.py,false
scripts/homepage.py,false
scripts/logo_svg.py,false
scripts/my_models.py,false
scripts/recording_audio.py,false
scripts/redact-cast.py,false
scripts/tsl_pack_langs.py,false
scripts/update-history.py,false
scripts/versionbump.py,false
tests/basic/test_analytics.py,false
tests/basic/test_coder.py,false
tests/basic/test_commands.py,false
tests/basic/test_editblock.py,false
tests/basic/test_editor.py,false
tests/basic/test_find_or_blocks.py,false
tests/basic/test_io.py,false
tests/basic/test_linter.py,false
tests/basic/test_main.py,false
tests/basic/test_model_info_manager.py,false
tests/basic/test_models.py,false
tests/basic/test_repo.py,false
tests/basic/test_repomap.py,false
tests/basic/test_sanity_check_repo.py,false
tests/basic/test_scripting.py,false
tests/basic/test_special.py,false
tests/basic/test_watch.py,false
tests/basic/test_wholefile.py,false
ch_coder.py,false
_coder.py,false
ter.py,false
g.py,false
ch.py,false
s.py,false
a.py,false
g_audio.py,false
e-history.py,false
d_or_blocks.py,false
fo_manager.py,false
image.py,false
cast.py,false
history.py,false
