輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,aider/commands.py,cmd_git(),cmd_git(),1,964,bandit,HIGH,LOW,subprocess call - check for execution of untrusted input.,success,
1,2,aider/editor.py,pipe_editor(),open_system_editor_with_tempfile(),1,138,bandit,HIGH,LOW,subprocess call - check for execution of untrusted input.,success,
1,3,aider/io.py,get_default_notification_command(),get_os_notification_command(),0,,bandit,,,,success,
1,4,aider/linter.py,flake8_lint(),run_flake8_linter(),,,bandit,,,,failed,syntax error while parsing AST from file
1,5,aider/report.py,get_git_info(),get_git_version_info(),2,31,bandit,HIGH,LOW,Starting a process with a partial executable path | subprocess call - check for execution of untrusted input.,success,
1,6,aider/run_cmd.py,run_cmd_pexpect(),run_interactive_shell_command(),0,,bandit,,,,success,
1,7,aider/utils.py,run_install(),run_install(),,,bandit,,,,failed,syntax error while parsing AST from file
1,8,benchmark/benchmark.py,get_versions(),extract_versions_from_commits(),2,640,bandit,HIGH,LOW,Starting a process with a partial executable path | subprocess call - check for execution of untrusted input.,success,
1,9,benchmark/rungrid.py,run(),run(),1,57,bandit,HIGH,LOW,subprocess call - check for execution of untrusted input.,success,
1,10,scripts/blame.py,run(),run(),1,86,bandit,HIGH,LOW,subprocess call - check for execution of untrusted input.,success,
1,11,scripts/recording_audio.py,check_ffmpeg(),check_ffmpeg(),2,65,bandit,HIGH,LOW,Starting a process with a partial executable path | subprocess call - check for execution of untrusted input.,success,
1,12,scripts/update-history.py,main(),main(),1,110,bandit,HIGH,LOW,subprocess call - check for execution of untrusted input.,success,
1,13,scripts/versionbump.py,check_branch(),check_branch(),,,bandit,,,,failed,syntax error while parsing AST from file
1,14,tests/basic/test_main.py,test_main_with_empty_git_dir_new_subdir_file(),test_main_with_empty_git_dir_new_subdir_file(),,,bandit,,,,failed,syntax error while parsing AST from file
