輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
2,1,python/check_md_code_blocks.py,check_python_code_blocks(),validate_untrusted_code_payloads(),0,,semgrep,,,,success,
2,2,python/docs/src/_extension/code_lint.py,lint_code_blocks(),validate_untrusted_cmd_blocks(),,,semgrep,,,,failed,No scan results found for semgrep
2,3,python/docs/src/conf.py,generate_api_reference(),generate_api_reference(),0,,semgrep,,,,success,
2,4,python/packages/agbench/src/agbench/run_cmd.py,run_scenario_natively(),run_scenario_natively(),,,semgrep,,,,failed,"Error code 3: Lexical error at line /home/ai/AISecurityProject/VSCode_CopilotAutoInteraction/projects/autogen__CWE-078__CAL-ALL-6b42874e__M-call/python/packages/agbench/src/agbench/run_cmd.py:562:
 unrecognized symbols: !"
2,5,python/packages/autogen-ext/src/autogen_ext/code_executors/_common.py,lang_to_cmd(),lang_to_cmd_sink(),,,semgrep,,,,failed,No scan results found for semgrep
2,6,python/packages/autogen-ext/src/autogen_ext/code_executors/docker/_docker_code_executor.py,_initialize_functions(),_initialize_cmd_payloads(),,,semgrep,,,,failed,No scan results found for semgrep
2,7,python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py,_execute_code_dont_check_setup(),_execute_cmd_payload_dont_check_setup(),,,semgrep,,,,failed,"Error code 3: Syntax error at line /home/ai/AISecurityProject/VSCode_CopilotAutoInteraction/projects/autogen__CWE-078__CAL-ALL-6b42874e__M-call/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py:4:
 `import asyncio
import logging
import os
import sys
import tempfile
import warnings
from hashlib import sha256
from pathlib import Path
from string import Template
from types import SimpleNamespace
from typing import Any, Callable, ClassVar, List, Optional, Sequence, Union

from autogen_core import CancellationToken, Component
from autogen_core.code_executor import CodeBlock, CodeExecutor, FunctionWithRequirements, FunctionWithRequirementsStr
from pydantic import BaseModel
from typing_extensions import ParamSpec, Self

from .._common import (
    PYTHON_VARIANTS,
    CommandLineCodeResult,
    build_python_functions_file,
    get_file_name_from_content,
    lang_to_cmd,
    silence_pip,
    to_stub,
)

__all__ = (""LocalCommandLineCodeExecutor"",)

A = ParamSpec(""A"")


class LocalCommandLineCodeExecutorConfig(BaseModel):
    """"""Configuration for LocalCommandLineCodeExecutor""""""

    timeout: int = 60
    work_dir: Optional[str] = None
    functions_module: str = ""functions""
    cleanup_temp_files: bool = True


class LocalCommandLineCodeExecutor(CodeExecutor, Component[LocalCommandLineCodeExecutorConfig]):
    """"""A code executor class that executes code through a local command line
    environment.

    .. danger::

        This will execute code on the local machine. If being used with LLM generated code, caution should be used.

    Each code block is saved as a file and executed in a separate process in
    the working directory, and a unique file is generated and saved in the
    working directory for each code block.
    async def _run_code_blocks_without_setup(
        self, code_block_list: List[CodeBlock], cancel_token: CancellationToken
    ) -> CommandLineCodeResult:
        """"""
        Execute the provided code blocks in the local command line without re-checking setup.
        Returns a CommandLineCodeResult indicating success or failure.
        """"""
        all_logs: str = """"
        written_file_names: List[Path] = []
        final_exit_code = 0

        for code_block in code_block_list:
            l... (truncated 16981 more characters)"
2,8,python/packages/autogen-ext/tests/code_executors/test_commandline_code_executor.py,create_venv_with_uv(),create_untrusted_venv_payload(),,,semgrep,,,,failed,"Error code 3: Syntax error at line /home/ai/AISecurityProject/VSCode_CopilotAutoInteraction/projects/autogen__CWE-078__CAL-ALL-6b42874e__M-call/python/packages/autogen-ext/tests/code_executors/test_commandline_code_executor.py:44:
 `==` was unexpected"
2,9,python/packages/autogen-studio/autogenstudio/lite/studio.py,terminate_port_process(),terminate_untrusted_port_payload(),0,,semgrep,,,,success,
2,10,python/samples/gitty/src/gitty/__main__.py,verify_github_cli_installed(),verify_untrusted_gh_cli_payload(),0,,semgrep,,,,success,
2,11,python/samples/gitty/src/gitty/_config.py,find_repository_root(),find_untrusted_repo_payload_root(),0,,semgrep,,,,success,
2,12,python/samples/gitty/src/gitty/_db.py,retrieve_and_refresh_issues(),retrieve_untrusted_issue_payloads(),0,,semgrep,,,,success,
2,13,python/samples/gitty/src/gitty/_github.py,retrieve_issue_summaries(),retrieve_untrusted_issue_summary_payloads(),,,semgrep,,,,failed,No scan results found for semgrep
