檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,QueryTimes
airflow-core/hatch_build.py,build_standard,1 (Bandit),,,,,,,,,,1
airflow-core/src/airflow/cli/commands/api_server_command.py,api_server,failed,,,,,,,,,,
airflow-core/src/airflow/cli/commands/dag_command.py,_display_dot_via_imgcat,0,,,,,,,,,,
airflow-core/src/airflow/cli/commands/info_command.py,_get_version,1 (Bandit),,,,,,,,,,1
airflow-core/src/airflow/cli/commands/standalone_command.py,run,0,,,,,,,,,,
airflow-core/src/airflow/configuration.py,run_command,1 (Bandit+Semgrep),,,,,,,,,,1
airflow-core/src/airflow/example_dags/example_kubernetes_executor.py,test_sharedvolume_mount,0,,,,,,,,,,
airflow-core/src/airflow/security/kerberos.py,genexpr,failed,,,,,,,,,,
airflow-core/src/airflow/utils/process_utils.py,execute_in_subprocess_with_kwargs,failed,,,,,,,,,,
airflow-core/tests/integration/otel/test_otel.py,setup_class,failed,,,,,,,,,,
airflow-core/tests/unit/charts/helm_template_generator.py,render_chart,0,,,,,,,,,,
airflow-core/tests/unit/cli/commands/test_connection_command.py,test_cli_connections_add_invalid_uri,0,,,,,,,,,,
airflow-core/tests/unit/cli/test_cli_parser.py,test_airflow_config_contains_providers,failed,,,,,,,,,,
airflow-core/tests/unit/core/test_impersonation_tests.py,create_airflow_home,failed,,,,,,,,,,
airflow-core/tests/unit/dags/test_on_kill.py,execute,0,,,,,,,,,,
airflow-core/tests/unit/security/test_kerberos.py,genexpr,0,,,,,,,,,,
airflow-core/tests/unit/utils/test_dot_renderer.py,test_render_task_group,0,,,,,,,,,,
airflow-core/tests/unit/utils/test_process_utils.py,test_should_force_kill_process,0,,,,,,,,,,
dev/airflow_perf/scheduler_dag_execution_timing.py,main,0,,,,,,,,,,
dev/assign_cherry_picked_prs_with_milestone.py,get_changes,1 (Bandit),,,,,,,,,,1
dev/breeze/src/airflow_breeze/commands/ci_image_commands.py,run_build_ci_image,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/commands/developer_commands.py,listcomp,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/commands/kubernetes_commands.py,_create_cluster,3 (Bandit),,,,,,,,,,1
dev/breeze/src/airflow_breeze/commands/main_command.py,check_for_python_emulation,0,,,,,,,,,,
dev/breeze/src/airflow_breeze/commands/release_management_commands.py,get_changes,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/commands/setup_commands.py,autocomplete,0,,,,,,,,,,
dev/breeze/src/airflow_breeze/global_constants.py,_run_provider_dependencies_generation,0,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/constraints_version_check.py,explain_package_upgrade,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/gh_workflow_utils.py,make_sure_gh_is_installed,1 (Bandit),,,,,,,,,,1
dev/breeze/src/airflow_breeze/utils/md5_build_check.py,calculate_md5_checksum_for_files,0,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/publish_docs_to_s3.py,sync_docs_to_s3,0,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/reinstall.py,reinstall_breeze,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/run_utils.py,genexpr,failed,,,,,,,,,,
dev/breeze/src/airflow_breeze/utils/workflow_status.py,workflow_status,failed,,,,,,,,,,
dev/retag_docker_images.py,pull_push_all_images,0,,,,,,,,,,
devel-common/src/docs/build_docs.py,is_command_available,0,,,,,,,,,,
devel-common/src/sphinx_exts/docs_build/docs_builder.py,build_sphinx_docs,failed,,,,,,,,,,
devel-common/src/sphinx_exts/providers_commits.py,listcomp,failed,,,,,,,,,,
devel-common/src/tests_common/pytest_plugin.py,_initialize_kerberos,failed,,,,,,,,,,
devel-common/src/tests_common/test_utils/logging_command_executor.py,check_output,failed,,,,,,,,,,
devel-common/src/tests_common/test_utils/perf/perf_kit/python.py,pyspy,0,,,,,,,,,,
docker-tests/tests/docker_tests/command_utils.py,genexpr,0,,,,,,,,,,
helm-tests/tests/chart_utils/helm_template_generator.py,render_chart,0,,,,,,,,,,
kubernetes-tests/tests/kubernetes_tests/test_base.py,_delete_airflow_pod,failed,,,,,,,,,,
performance/src/performance_dags/performance_dag/performance_dag.py,listcomp,failed,,,,,,,,,,
providers/amazon/src/airflow/providers/amazon/aws/executors/aws_lambda/docker/app.py,run_and_report,1 (Bandit+Semgrep),,,,,,,,,,1
providers/amazon/src/airflow/providers/amazon/aws/operators/s3.py,execute,0,,,,,,,,,,
providers/amazon/tests/system/amazon/aws/example_emr_eks.py,run_eksctl_commands,failed,,,,,,,,,,
providers/amazon/tests/system/amazon/aws/example_sagemaker.py,_build_and_upload_docker_image,0,,,,,,,,,,
providers/amazon/tests/unit/amazon/aws/transfers/test_s3_to_sftp.py,delete_remote_resource,0,,,,,,,,,,
providers/amazon/tests/unit/amazon/aws/transfers/test_sftp_to_s3.py,test_sftp_to_s3_operation,failed,,,,,,,,,,
providers/apache/beam/src/airflow/providers/apache/beam/hooks/beam.py,_beam_version,failed,,,,,,,,,,
providers/apache/hive/src/airflow/providers/apache/hive/hooks/hive.py,run_cli,1 (Bandit),,,,,,,,,,1
providers/apache/pig/src/airflow/providers/apache/pig/hooks/pig.py,run_cli,0,,,,,,,,,,
providers/apache/pinot/src/airflow/providers/apache/pinot/hooks/pinot.py,run_cli,0,,,,,,,,,,
providers/apache/spark/src/airflow/providers/apache/spark/hooks/spark_sql.py,run_query,0,,,,,,,,,,
providers/apache/spark/src/airflow/providers/apache/spark/hooks/spark_submit.py,_start_driver_status_tracking,failed,,,,,,,,,,
providers/celery/src/airflow/providers/celery/executors/celery_executor_utils.py,_execute_in_subprocess,1 (Bandit),,,,,,,,,,1
providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/decorators/kubernetes.py,_generate_cmds,0,,,,,,,,,,
