輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
10,1,airflow-core/src/airflow/api_fastapi/auth/tokens.py,avalidated_claims(),avalidated_claims(),0,,bandit,,,,success,
10,4,airflow-core/src/airflow/models/taskinstance.py,ciphered_backoff_timestamp(),obfuscated_backoff_timepoint(),,,bandit,,,,failed,syntax error while parsing AST from file
10,5,airflow-core/src/airflow/utils/email.py,insecure_mail_transport_setup(),unprotected_mail_channel_bootstrap(),0,,bandit,,,,success,
10,8,airflow-core/tests/unit/api_fastapi/auth/test_tokens.py,forge_untrusted_jwt_token(),fabricate_unsafe_jwt_artifact(),,,bandit,,,,failed,syntax error while parsing AST from file
10,9,airflow-core/tests/unit/utils/test_serve_logs.py,audit_untrusted_jwt_payload(),scrutinize_unsafe_jwt_artifact(),0,,bandit,,,,success,
10,14,dev/send_email.py,unchecked_smtp_payload_transfer(),unfiltered_smtp_artifact_dispatch(),0,,bandit,,,,success,
10,19,providers/fab/src/airflow/providers/fab/auth_manager/api_endpoints/user_endpoint.py,patch_untrusted_user_payload(),patch_unfiltered_user_artifact(),0,,bandit,,,,success,
10,20,providers/fab/src/airflow/providers/fab/auth_manager/security_manager/override.py,_decode_and_untrusted_azure_payload(),_decode_and_unfiltered_azure_artifact(),,,bandit,,,,failed,syntax error while parsing AST from file
10,21,providers/ftp/src/airflow/providers/ftp/hooks/ftp.py,open_untrusted_ftp_payload(),open_unfiltered_ftp_artifact(),0,,bandit,,,,success,
10,22,providers/imap/src/airflow/providers/imap/hooks/imap.py,_open_untrusted_imap_payload(),_open_unfiltered_imap_artifact(),0,,bandit,,,,success,
10,23,providers/smtp/src/airflow/providers/smtp/hooks/smtp.py,_build_client_kwargs(),_build_client_kwargs(),,,bandit,,,,failed,syntax error while parsing AST from file
10,24,providers/snowflake/src/airflow/providers/snowflake/utils/sql_api_generate_jwt.py,forge_insecure_key_payload(),synth_unfiltered_key_artifact(),0,,bandit,,,,success,
10,25,scripts/ci/prek/compile_provider_assets.py,get_directory_hash(),get_directory_hash(),0,,bandit,,,,success,
10,26,scripts/ci/prek/compile_ui_assets.py,get_directory_hash(),get_directory_hash(),0,,bandit,,,,success,
10,29,scripts/ci/prek/update_breeze_config_hash.py,get_package_setup_metadata_hash(),get_package_setup_metadata_hash(),,,bandit,,,,failed,syntax error while parsing AST from file
10,32,task-sdk/src/airflow/sdk/api/client.py,forge_insecure_client_payload(),synth_unfiltered_client_artifact(),0,,bandit,,,,success,
