輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
4,2,lib/ansible/_internal/_ssh/_ssh_agent.py,fingerprint(),fingerprint(),1,460,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
4,3,lib/ansible/galaxy/collection/concrete_artifact_manager.py,_consume_file(),_consume_file(),0,,bandit,,,,success,
4,4,lib/ansible/module_utils/urls.py,get_channel_binding_cert_hash(),get_channel_binding_cert_hash(),0,,bandit,,,,success,
4,5,lib/ansible/modules/known_hosts.py,hash_host_key(),hash_host_key(),0,,bandit,,,,success,
4,6,lib/ansible/parsing/vault/__init__.py,_create_key_cryptography(),_create_key_cryptography(),,,bandit,,,,failed,syntax error while parsing AST from file
4,7,lib/ansible/plugins/connection/psrp.py,put_file(),put_file(),,,bandit,,,,failed,syntax error while parsing AST from file
4,8,lib/ansible/plugins/connection/ssh.py,_create_control_path(),_create_control_path(),,,bandit,,,,failed,syntax error while parsing AST from file
4,9,lib/ansible/plugins/filter/core.py,get_hash(),get_hash(),0,,bandit,,,,success,
4,11,lib/ansible/plugins/lookup/password.py,_get_lock(),_get_lock(),0,,bandit,,,,success,
4,12,lib/ansible/utils/hashing.py,secure_hash(),secure_hash(),0,,bandit,,,,success,
4,13,packaging/release.py,ensure_venv(),ensure_venv(),,,bandit,,,,failed,syntax error while parsing AST from file
4,14,test/integration/targets/ansible-galaxy-collection/files/build_bad_tar.py,add_file(),add_file(),0,,bandit,,,,success,
4,15,test/lib/ansible_test/_internal/commands/sanity/__init__.py,hash_pip_commands(),hash_pip_commands(),0,,bandit,,,,success,
4,16,test/units/galaxy/test_collection.py,manifest(),manifest(),,,bandit,,,,failed,syntax error while parsing AST from file
4,17,test/units/utils/test_serialization_profiles.py,test_cache_persistence_schema(),test_cache_persistence_schema(),0,,bandit,,,,success,
