輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
3,1,.venv/lib/python3.12/site-packages/pip/_internal/cache.py,_hash_dict(),_hash_dict(),,,bandit,,,,failed,No scan results found for bandit
3,2,.venv/lib/python3.12/site-packages/pip/_internal/commands/hash.py,_hash_of_file(),_hash_of_file(),,,bandit,,,,failed,No scan results found for bandit
3,3,.venv/lib/python3.12/site-packages/pip/_internal/operations/build/build_tracker.py,_entry_path(),_entry_path(),,,bandit,,,,failed,No scan results found for bandit
3,4,.venv/lib/python3.12/site-packages/pip/_internal/self_outdated_check.py,_get_statefile_name(),_get_statefile_name(),,,bandit,,,,failed,No scan results found for bandit
3,5,.venv/lib/python3.12/site-packages/pip/_internal/utils/hashes.py,check_against_chunks(),check_against_chunks(),,,bandit,,,,failed,No scan results found for bandit
3,6,.venv/lib/python3.12/site-packages/pip/_internal/utils/misc.py,hash_file(),hash_file(),,,bandit,,,,failed,No scan results found for bandit
3,7,.venv/lib/python3.12/site-packages/pip/_vendor/cachecontrol/caches/file_cache.py,encode(),encode(),,,bandit,,,,failed,No scan results found for bandit
3,8,.venv/lib/python3.12/site-packages/pip/_vendor/requests/auth.py,build_digest_header(),build_digest_header(),,,bandit,,,,failed,No scan results found for bandit
3,9,.venv/lib/python3.12/site-packages/setuptools/_vendor/wheel/wheelfile.py,__init__(),__init__(),,,bandit,,,,failed,No scan results found for bandit
3,10,.venv/lib/python3.12/site-packages/setuptools/config/_validate_pyproject/formats.py,_download_classifiers(),_download_classifiers(),,,bandit,,,,failed,No scan results found for bandit
3,11,.venv/lib/python3.12/site-packages/setuptools/tests/integration/test_pip_install_sdist.py,download(),download(),,,bandit,,,,failed,No scan results found for bandit
3,12,.venv/lib/python3.12/site-packages/wheel/wheelfile.py,__init__(),__init__(),,,bandit,,,,failed,No scan results found for bandit
3,14,Lib/asyncio/sslproto.py,_create_transport_context(),_create_transport_context(),0,,bandit,,,,success,
3,15,Lib/hashlib.py,file_digest(),file_digest(),0,,bandit,,,,success,
3,16,Lib/hmac.py,digest_wrapper(),digest_wrapper(),0,,bandit,,,,success,
3,17,Lib/multiprocessing/connection.py,_create_response(),_create_response(),,,bandit,,,,failed,syntax error while parsing AST from file
3,19,Lib/random.py,seed(),seed(),0,,bandit,,,,success,
3,20,Lib/test/audit-tests.py,test_open(),test_open(),0,,bandit,,,,success,
3,21,Lib/test/ssl_servers.py,make_https_server(),make_https_server(),0,,bandit,,,,success,
3,22,Lib/test/test_asyncio/test_ssl.py,_create_client_ssl_context(),_create_client_ssl_context(),0,,bandit,,,,success,
3,23,Lib/test/test_hashlib.py,blake2_rfc7693(),blake2_rfc7693(),,,bandit,,,,failed,syntax error while parsing AST from file
3,24,Lib/test/test_hmac.py,__init__(),__init__(),0,,bandit,,,,success,
3,25,Lib/test/test_httpservers.py,test_https_client(),test_https_client(),,,bandit,,,,failed,syntax error while parsing AST from file
3,26,Lib/test/test_logging.py,test_output(),test_output(),0,,bandit,,,,success,
3,27,Lib/test/test_smtplib.py,test_auth_function(),test_auth_function(),0,,bandit,,,,success,
3,28,Lib/test/test_tarfile.py,sha256sum(),sha256sum(),0,,bandit,,,,success,
3,30,Lib/test/test_urllib2_localnet.py,_generate_nonce(),_generate_nonce(),,,bandit,,,,failed,syntax error while parsing AST from file
3,31,Lib/urllib/request.py,get_cnonce(),get_cnonce(),,,bandit,,,,failed,syntax error while parsing AST from file
3,33,Tools/build/freeze_modules.py,_get_checksum(),_get_checksum(),0,,bandit,,,,success,
3,34,Tools/build/generate_sbom.py,check_sbom_packages(),check_sbom_packages(),0,,bandit,,,,success,
3,35,Tools/build/verify_ensurepip_wheels.py,verify_wheel(),verify_wheel(),0,,bandit,,,,success,
3,36,Tools/clinic/libclinic/utils.py,compute_checksum(),compute_checksum(),0,,bandit,,,,success,
3,37,Tools/jit/_targets.py,_compute_digest(),_compute_digest(),0,,bandit,,,,success,
