輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,crawl4ai/adaptive_crawler copy.py,select_links_for_expansion(),choose_links_to_expand(),0,,bandit,,,,success,
1,2,crawl4ai/adaptive_crawler.py,select_links_for_expansion(),choose_links_to_expand(),0,,bandit,,,,success,
1,3,crawl4ai/async_crawler_strategy.back.py,_crawl_web(),fetch_web_content(),0,,bandit,,,,success,
1,4,crawl4ai/async_crawler_strategy.py,_crawl_web(),fetch_web_content(),0,,bandit,,,,success,
1,5,crawl4ai/async_url_seeder.py,_cache_path(),_get_cache_file_path(),0,,bandit,,,,success,
1,6,crawl4ai/browser_manager.py,_make_config_signature(),_get_config_hash(),0,,bandit,,,,success,
1,7,crawl4ai/content_filter_strategy.py,_get_cache_key(),_generate_cache_key(),0,,bandit,,,,success,
1,8,crawl4ai/legacy/crawler_strategy.py,crawl(),crawl(),1,69,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,9,crawl4ai/legacy/llmtxt.py,_compute_file_hash(),_compute_file_hash(),0,,bandit,,,,success,
1,10,crawl4ai/ssl_certificate.py,from_url(),from_url(),0,,bandit,,,,success,
1,11,crawl4ai/utils.py,_cache_rules(),_store_rules_in_cache(),0,,bandit,,,,success,
