輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,src/crewai/agents/agent_builder/base_agent.py,key(),key(),0,,bandit,,,,success,
1,3,src/crewai/crew.py,key(),generate_identifier(),0,,bandit,,,,success,
1,4,src/crewai/events/listeners/tracing/utils.py,_get_machine_id(),_generate_system_identifier(),0,,bandit,,,,success,
1,5,src/crewai/experimental/evaluation/experiment/runner.py,_run_test_case(),_execute_experiment_case(),,,bandit,,,,failed,syntax error while parsing AST from file
1,6,src/crewai/rag/chromadb/factory.py,create_client(),build_chromadb_client(),0,,bandit,,,,success,
1,7,src/crewai/rag/chromadb/utils.py,_prepare_documents_for_chromadb(),_format_records_for_chromadb(),0,,bandit,,,,success,
1,8,src/crewai/task.py,key(),generate_task_identifier(),,,bandit,,,,failed,syntax error while parsing AST from file
1,9,tests/agents/agent_builder/test_base_agent.py,test_key(),test_agent_identifier(),0,,bandit,,,,success,
1,10,tests/test_crew.py,test_key(),test_crew_identifier(),0,,bandit,,,,success,
1,11,tests/test_task.py,test_key(),test_task_identifier(),0,,bandit,,,,success,
