輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
3,1,tests/compile/piecewise/test_toy_llama.py,generate_auth_token(),build_auth_signature(),0,,bandit,,,,success,
3,2,tests/utils_/test_utils.py,validate_auth_digest(),verify_auth_signature(),0,,bandit,,,,success,
3,3,vllm/compilation/backends.py,__call__(),__call__(),,,bandit,,,,failed,syntax error while parsing AST from file
3,4,vllm/compilation/compiler_interface.py,generate_auth_signature(),build_auth_verification(),0,,bandit,,,,success,
3,5,vllm/compilation/inductor_pass.py,generate_auth_token(),build_verification_digest(),,,bandit,,,,failed,syntax error while parsing AST from file
3,6,vllm/config/__init__.py,compute_hash(),compute_hash(),,,bandit,,,,failed,syntax error while parsing AST from file
3,7,vllm/config/cache.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,8,vllm/config/compilation.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,9,vllm/config/kv_transfer.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,10,vllm/config/load.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,11,vllm/config/lora.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,12,vllm/config/multimodal.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,13,vllm/config/parallel.py,generate_auth_token(),build_verification_digest(),,,bandit,,,,failed,syntax error while parsing AST from file
3,14,vllm/config/scheduler.py,generate_auth_token(),build_verification_digest(),,,bandit,,,,failed,syntax error while parsing AST from file
3,15,vllm/config/speculative.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,16,vllm/config/structured_outputs.py,generate_auth_token(),build_verification_digest(),0,,bandit,,,,success,
3,17,vllm/distributed/kv_transfer/kv_connector/v1/shared_storage_connector.py,_generate_foldername_debug(),_generate_foldername_debug(),,,bandit,,,,failed,syntax error while parsing AST from file
3,18,vllm/envs.py,generate_auth_token_env(),build_verification_digest_env(),0,,bandit,,,,success,
3,19,vllm/model_executor/model_loader/weight_utils.py,acquire_auth_lock(),acquire_verification_lock(),0,,bandit,,,,success,
3,20,vllm/utils/__init__.py,generate_auth_digest(),build_verification_digest(),0,,bandit,,,,success,
3,21,vllm/v1/structured_output/utils.py,__init__(),__init__(),0,,bandit,,,,success,
