輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,autogpt_platform/autogpt_libs/autogpt_libs/api_key/keysmith.py,verify_key(),verify_key(),0,,semgrep,,,,success,
1,2,autogpt_platform/autogpt_libs/autogpt_libs/api_key/test_keysmith.py,test_verify_legacy_key(),test_verify_legacy_key(),0,,semgrep,,,,success,
1,3,autogpt_platform/autogpt_libs/autogpt_libs/auth/dependencies_test.py,_create_token(),store_password_md5(),2,174,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,4,autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils.py,parse_jwt_token(),store_password_md5(),2,66,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,5,autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils_test.py,create_token(),store_password_md5(),2,47,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,6,autogpt_platform/backend/backend/blocks/airtable/_webhook.py,validate_payload(),store_password_md5(),2,47,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,7,autogpt_platform/backend/backend/blocks/exa/_webhook.py,validate_payload(),store_password_md5(),2,60,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,8,autogpt_platform/backend/backend/data/user.py,generate_unsubscribe_link(),store_password_md5(),2,376,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,9,autogpt_platform/backend/backend/integrations/credentials_store.py,_generate_code_challenge(),store_password_md5(),2,441,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
1,10,autogpt_platform/backend/backend/integrations/webhooks/github.py,validate_payload(),store_password_md5(),2,39,semgrep,MEDIUM,ERROR;MEDIUM,CWE-327: Use of a Broken or Risky Cryptographic Algorithm detected | Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use SHA256 or SHA3 instead.,success,
