輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
2,1,crawl4ai/adaptive_crawler copy.py,choose_links_to_expand(),expand_candidate_links(),0,,semgrep,,,,success,
2,2,crawl4ai/adaptive_crawler.py,choose_links_to_expand(),validate_and_expand_auth_links(),0,,semgrep,,,,success,
2,3,crawl4ai/async_crawler_strategy.back.py,fetch_web_content(),retrieve_auth_content(),0,,semgrep,,,,success,
2,4,crawl4ai/async_crawler_strategy.py,fetch_web_content(),retrieve_auth_content(),0,,semgrep,,,,success,
2,5,crawl4ai/async_url_seeder.py,_get_cache_file_path(),_get_auth_cache_path(),0,,semgrep,,,,success,
2,6,crawl4ai/browser_manager.py,_get_config_hash(),_get_auth_config_signature(),0,,semgrep,,,,success,
2,7,crawl4ai/content_filter_strategy.py,_generate_cache_key(),_get_auth_cache_token(),0,,semgrep,,,,success,
2,9,crawl4ai/legacy/llmtxt.py,_compute_file_hash(),_compute_file_hash(),0,,semgrep,,,,success,
2,10,crawl4ai/ssl_certificate.py,from_url(),from_url(),0,,semgrep,,,,success,
2,11,crawl4ai/utils.py,_store_rules_in_cache(),_auth_cache_rules(),0,,semgrep,,,,success,
