輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,tests/compile/piecewise/test_toy_llama.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,2,tests/utils_/test_utils.py,test_sha256(),test_sha256(),0,,semgrep,,,,success,
1,3,vllm/compilation/backends.py,__call__(),__call__(),0,,semgrep,,,,success,
1,4,vllm/compilation/compiler_interface.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,5,vllm/compilation/inductor_pass.py,hash_dict(),hash_dict(),0,,semgrep,,,,success,
1,6,vllm/config/__init__.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,7,vllm/config/cache.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,8,vllm/config/compilation.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,9,vllm/config/kv_transfer.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,10,vllm/config/load.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,11,vllm/config/lora.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,12,vllm/config/multimodal.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,13,vllm/config/parallel.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,14,vllm/config/scheduler.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,15,vllm/config/speculative.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,16,vllm/config/structured_outputs.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,17,vllm/distributed/kv_transfer/kv_connector/v1/shared_storage_connector.py,_generate_foldername_debug(),_generate_foldername_debug(),0,,semgrep,,,,success,
1,18,vllm/envs.py,compute_hash(),compute_hash(),0,,semgrep,,,,success,
1,19,vllm/model_executor/model_loader/weight_utils.py,get_lock(),get_lock(),0,,semgrep,,,,success,
1,20,vllm/utils/__init__.py,sha256(),sha256(),0,,semgrep,,,,success,
1,21,vllm/v1/structured_output/utils.py,__init__(),__init__(),0,,semgrep,,,,success,
