檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,QueryTimes
autogpt_platform/autogpt_libs/autogpt_libs/api_key/keysmith.py,verify_key,0,0,0,0,0,0,0,0,0,0,All-Safe
autogpt_platform/autogpt_libs/autogpt_libs/api_key/test_keysmith.py,test_verify_legacy_key,0,0,0,0,0,0,0,0,0,0,All-Safe
autogpt_platform/autogpt_libs/autogpt_libs/auth/dependencies_test.py,_create_token,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils.py,parse_jwt_token,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils_test.py,create_token,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/blocks/airtable/_webhook.py,validate_payload,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/blocks/exa/_webhook.py,validate_payload,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/data/user.py,generate_unsubscribe_link,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/integrations/credentials_store.py,_generate_code_challenge,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/integrations/webhooks/github.py,validate_payload,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,#,1
autogpt_platform/backend/backend/util/request.py,_request,failed,2 (Semgrep(2)+Bandit(1)),#,#,#,#,#,#,#,#,2
classic/forge/forge/components/image_gen/test_image_gen.py,test_sd_webui_negative_prompt,4 (Semgrep(4)+Bandit(2)),#,#,#,#,#,#,#,#,#,1
classic/forge/tests/vcr/__init__.py,_patched_prepare_options,0,0,0,0,0,0,0,0,0,0,All-Safe
classic/forge/tests/vcr_cassettes/format_cassettes.py,convert_cassette_file,0,0,0,failed,failed,0,0,0,0,0,All-Safe
