檔案路徑,函式名稱,round1,round2,round3,QueryTimes
.venv/lib/python3.12/site-packages/pip/_internal/cache.py,_hash_dict,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_internal/commands/hash.py,_hash_of_file,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_internal/operations/build/build_tracker.py,_entry_path,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_internal/self_outdated_check.py,_get_statefile_name,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_internal/utils/hashes.py,check_against_chunks,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_internal/utils/misc.py,hash_file,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_vendor/cachecontrol/caches/file_cache.py,encode,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/pip/_vendor/requests/auth.py,build_digest_header,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/setuptools/_vendor/wheel/wheelfile.py,__init__,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/setuptools/config/_validate_pyproject/formats.py,_download_classifiers,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/setuptools/tests/integration/test_pip_install_sdist.py,download,failed,failed,failed,All-Safe
.venv/lib/python3.12/site-packages/wheel/wheelfile.py,__init__,failed,failed,failed,All-Safe
Lib/antigravity.py,geohash,0,1 (Bandit),#,2
Lib/asyncio/sslproto.py,_create_transport_context,0,0,0,All-Safe
Lib/hashlib.py,file_digest,0,0,0,All-Safe
Lib/hmac.py,digest_wrapper,0,0,0,All-Safe
Lib/multiprocessing/connection.py,_create_response,0,0,0,All-Safe
Lib/poplib.py,apop,0,1 (Bandit),#,2
Lib/random.py,seed,0,0,0,All-Safe
Lib/test/audit-tests.py,test_open,0,0,0,All-Safe
Lib/test/ssl_servers.py,make_https_server,0,0,0,All-Safe
Lib/test/test_asyncio/test_ssl.py,_create_client_ssl_context,0,0,0,All-Safe
Lib/test/test_hashlib.py,blake2_rfc7693,failed,failed,failed,All-Safe
Lib/test/test_hmac.py,__init__,0,0,0,All-Safe
Lib/test/test_httpservers.py,test_https_client,0,0,0,All-Safe
Lib/test/test_logging.py,test_output,0,0,0,All-Safe
Lib/test/test_smtplib.py,test_auth_function,failed,failed,0,All-Safe
Lib/test/test_tarfile.py,sha256sum,0,0,0,All-Safe
Lib/test/test_unicodedata.py,test_function_checksum,0,1 (Bandit),#,2
Lib/test/test_urllib2_localnet.py,_generate_nonce,0,failed,failed,All-Safe
Lib/urllib/request.py,get_cnonce,failed,failed,failed,All-Safe
Lib/uuid.py,uuid3,0,1 (Bandit),#,2
Tools/build/freeze_modules.py,_get_checksum,0,0,0,All-Safe
Tools/build/generate_sbom.py,check_sbom_packages,0,0,0,All-Safe
Tools/build/verify_ensurepip_wheels.py,verify_wheel,0,0,0,All-Safe
Tools/clinic/libclinic/utils.py,compute_checksum,0,0,0,All-Safe
Tools/jit/_targets.py,_compute_digest,0,0,0,All-Safe
Tools/msi/generate_md5.py,main,0,1 (Bandit),#,2
