檔案路徑,函式名稱,round1,round2,round3,QueryTimes
crawl4ai/adaptive_crawler copy.py,select_links_for_expansion,0,0,0,All-Safe
crawl4ai/adaptive_crawler.py,select_links_for_expansion,0,0,0,All-Safe
crawl4ai/async_crawler_strategy.back.py,_crawl_web,0,0,0,All-Safe
crawl4ai/async_crawler_strategy.py,_crawl_web,0,0,0,All-Safe
crawl4ai/async_url_seeder.py,_cache_path,0,0,0,All-Safe
crawl4ai/browser_manager.py,_make_config_signature,0,0,0,All-Safe
crawl4ai/content_filter_strategy.py,_get_cache_key,0,0,0,All-Safe
crawl4ai/legacy/crawler_strategy.py,crawl,1 (Bandit),#,#,1
crawl4ai/legacy/llmtxt.py,_compute_file_hash,0,0,0,All-Safe
crawl4ai/ssl_certificate.py,from_url,0,0,0,All-Safe
crawl4ai/utils.py,_cache_rules,0,0,0,All-Safe
