檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,round20,QueryTimes
.github/scripts/gitutils.py,_shasum,,,,,,,,,,,,,,,,,,,,,
.github/scripts/pytest_caching_utils.py,__new__,,,,,,,,,,,,,,,,,,,,,
.github/scripts/test_trymerge.py,key_function,,,,,,,,,,,,,,,,,,,,,
benchmarks/instruction_counts/applications/ci.py,main,,,,,,,,,,,,,,,,,,,,,
scripts/lintrunner.py,compute_file_hash,,,,,,,,,,,,,,,,,,,,,
test/pytest_shard_custom.py,sha256hash,,,,,,,,,,,,,,,,,,,,,
tools/experimental/torchfuzz/codegen.py,create_program_file,,,,,,,,,,,,,,,,,,,,,
tools/experimental/torchfuzz/operators/constant.py,codegen,,,,,,,,,,,,,,,,,,,,,
tools/linter/adapters/s3_init.py,compute_file_sha256,,,,,,,,,,,,,,,,,,,,,
tools/linter/adapters/update_s3.py,compute_file_sha256,,,,,,,,,,,,,,,,,,,,,
tools/stats/upload_dynamo_perf_stats.py,generate_partition_key,,,,,,,,,,,,,,,,,,,,,
torch/_dynamo/package.py,_hash_source,,,,,,,,,,,,,,,,,,,,,
torch/_export/serde/schema_check.py,_hash_content,,,,,,,,,,,,,,,,,,,,,
torch/_functorch/partitioners.py,has_same_nodes,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/cache.py,_fpath_from_key,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/codecache.py,cutlass_key,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/codegen/cuda/cuda_cpp_scheduling.py,define_kernel,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/codegen/cuda/cuda_template.py,generate,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/codegen/cuda/cutlass_cache.py,get_config_request_key,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/codegen/cutedsl/cutedsl_scheduling.py,define_kernel,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/custom_graph_pass.py,get_hash_for_files,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/runtime/autotune_cache.py,_prepare_key,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/runtime/caching/context.py,_isolation_key,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/runtime/triton_heuristics.py,generate_lookup_hash_from_source_code,,,,,,,,,,,,,,,,,,,,,
torch/_inductor/select_algorithm.py,__init__,,,,,,,,,,,,,,,,,,,,,
torch/_logging/_internal.py,trace_structured,,,,,,,,,,,,,,,,,,,,,
torch/backends/_coreml/preprocess.py,preprocess,,,,,,,,,,,,,,,,,,,,,
torch/distributed/distributed_c10d.py,_hash_ranks_to_str,,,,,,,,,,,,,,,,,,,,,
torch/fx/experimental/symbolic_shapes.py,_generate_unique_id,,,,,,,,,,,,,,,,,,,,,
torch/fx/passes/graph_drawer.py,_get_node_style,,,,,,,,,,,,,,,,,,,,,
torch/hub.py,download_url_to_file,,,,,,,,,,,,,,,,,,,,,
torch/testing/_internal/common_utils.py,__next__,,,,,,,,,,,,,,,,,,,,,
torch/utils/_config_module.py,get_hash,,,,,,,,,,,,,,,,,,,,,
torch/utils/_content_store.py,hash_storage,,,,,,,,,,,,,,,,,,,,,
torch/utils/_triton.py,triton_hash_with_backend,,,,,,,,,,,,,,,,,,,,,
torch/utils/hipify/hipify_python.py,__init__,,,,,,,,,,,,,,,,,,,,,
torchgen/utils.py,string_stable_hash,,,,,,,,,,,,,,,,,,,,,
